district,is_incumbent,name,party,percent,state,votes,won,year,first_time_elected,count_victories,unemployement_rate,is_presidential_year,president_can_be_re_elected,president_party,president_overall_avg_job_approval,last_D_house_seats,last_R_house_seats,last_house_majority,fundraising
District 3,1.0,John K. Luttrell ,D,51.1,California,19846.0,1,1876,1874.0,1,,1.0,1.0,R,,183.0,106.0,D,
District 1,0.0,C. A. Debruler,R,45.2,Indiana,13158.0,0,1876,,0,,1.0,1.0,R,,183.0,106.0,D,
District 4,0.0,Romualdo Pacheco,R,50.0,California,19104.0,1,1876,1876.0,0,,1.0,1.0,R,,183.0,106.0,D,
District 4,1.0,Peter D. Wigginton ,D,50.0,California,19103.0,0,1876,1876.0,0,,1.0,1.0,R,,183.0,106.0,D,
District 3,0.0,Joseph McKenna,R,48.9,California,18990.0,0,1876,1884.0,0,,1.0,1.0,R,,183.0,106.0,D,
District 1,0.0,Horace Davis,R,53.3,California,22134.0,1,1876,1876.0,0,,1.0,1.0,R,,183.0,106.0,D,
District 2,1.0,Horace F. Page ,R,56.7,California,20815.0,1,1876,1874.0,1,,1.0,1.0,R,,183.0,106.0,D,
District 2,0.0,G. J. Carpenter,D,43.3,California,15916.0,0,1876,,0,,1.0,1.0,R,,183.0,106.0,D,
District 1,1.0,William Adam Piper ,D,46.7,California,19363.0,0,1876,,0,,1.0,1.0,R,,183.0,106.0,D,
District 1,0.0,Charles R. Summer,D,7.1,California,2940.0,0,1878,,0,,0.0,1.0,R,,157.0,136.0,D,
District 3,,Joseph McKenna,R,49.6,California,19800.0,0,1878,1884.0,0,,0.0,1.0,R,,157.0,136.0,D,
District 3,0.0,Campbell Polson Berry,D,50.2,California,20019.0,1,1878,1878.0,0,,0.0,1.0,R,,157.0,136.0,D,
District 1,1.0,Horace Davis ,R,48.4,California,20074.0,1,1878,1878.0,0,,0.0,1.0,R,,157.0,136.0,D,
District 4,1.0,Romualdo Pacheco,R,40.5,California,15391.0,1,1878,1876.0,1,,0.0,1.0,R,,157.0,136.0,D,
District 1,0.0,William Heilman,R,48.7,Indiana,13928.0,1,1878,1878.0,0,,0.0,1.0,R,,157.0,136.0,D,
District 1,0.0,Thomas E. Garvin,D,48.7,Indiana,13928.0,0,1878,1878.0,0,,0.0,1.0,R,,157.0,136.0,D,
District 4,0.0,Wallace A. Leach,D,31.8,California,12109.0,0,1878,,0,,0.0,1.0,R,,157.0,136.0,D,
District 2,1.0,Horace F. Page ,R,51.9,California,19386.0,1,1878,1874.0,2,,0.0,1.0,R,,157.0,136.0,D,
District 2,0.0,Thomas J. Clunie,D,34.4,California,12847.0,0,1878,,0,,0.0,1.0,R,,157.0,136.0,D,
District 3,0.0,George A. Knight,R,48.2,California,20494.0,0,1880,,0,,1.0,1.0,R,,148.0,132.0,D,
District 1,1.0,William Heilman,R,49.4,Indiana,17719.0,1,1880,1878.0,1,,1.0,1.0,R,,148.0,132.0,D,
District 1,1.0,Horace Davis ,R,47.3,California,19496.0,0,1880,1878.0,1,,1.0,1.0,R,,148.0,132.0,D,
District 4,0.0,Wallace A. Leach,D,45.3,California,17577.0,0,1880,,0,,1.0,1.0,R,,148.0,132.0,D,
District 1,0.0,William Rosecrans,D,51.0,California,21005.0,1,1880,1880.0,0,,1.0,1.0,R,,148.0,132.0,D,
District 1,0.0,John Kleiner,D,48.6,Indiana,17420.0,0,1880,1882.0,0,,1.0,1.0,R,,148.0,132.0,D,
District 4,1.0,Romualdo Pacheco ,R,45.8,California,17768.0,1,1880,1880.0,0,,1.0,1.0,R,,148.0,132.0,D,
District 2,1.0,Horace F. Page ,R,53.6,California,22038.0,1,1880,1874.0,3,,1.0,1.0,R,,148.0,132.0,D,
District 2,0.0,John R. Glasscock,D,45.9,California,18859.0,0,1880,,0,,1.0,1.0,R,,148.0,132.0,D,
District 3,1.0,Campbell Polson Berry ,D,51.1,California,21743.0,1,1880,1880.0,0,,1.0,1.0,R,,148.0,132.0,D,
District 2,0.0,James Budd,D,50.5,California,20229.0,1,1882,1882.0,0,,0.0,1.0,R,,131.0,151.0,R,
District 2,1.0,Horace F. Page ,R,48.1,California,19246.0,0,1882,1874.0,4,,0.0,1.0,R,,131.0,151.0,R,
District 4,0.0,Pleasant B. Tully,D,54.4,California,23105.0,1,1882,1882.0,0,,0.0,1.0,R,,131.0,151.0,R,
District 3,0.0,Barclay Henley,D,51.3,California,21807.0,1,1882,1882.0,0,,0.0,1.0,R,,131.0,151.0,R,
District 4,0.0,George Lemuel Woods,R,43.3,California,18387.0,0,1882,,0,,0.0,1.0,R,,131.0,151.0,R,
District 3,0.0,John J. DeHaven,R,45.8,California,19473.0,0,1882,,0,,0.0,1.0,R,,131.0,151.0,R,
District 1,1.0,William Heilman,R,46.9,Indiana,16399.0,0,1882,1878.0,2,,0.0,1.0,R,,131.0,151.0,R,
District 1,1.0,William Rosecrans ,D,59.5,California,22733.0,1,1882,1882.0,0,,0.0,1.0,R,,131.0,151.0,R,
District 1,0.0,Paul Neumann,R,38.8,California,14847.0,0,1882,,0,,0.0,1.0,R,,131.0,151.0,R,
District 1,,John Kleiner,D,51.6,Indiana,18048.0,1,1882,1882.0,0,,0.0,1.0,R,,131.0,151.0,R,
District 4,0.0,William W. Morrow,R,58.8,California,15083.0,1,1884,1884.0,0,,1.0,1.0,D,,199.0,118.0,D,
District 3,0.0,Joseph McKenna,R,55.8,California,17435.0,1,1884,1884.0,0,,1.0,1.0,D,,199.0,118.0,D,
District 3,1.0,John R. Glascock ,D,42.3,California,13197.0,0,1884,,0,,1.0,1.0,D,,199.0,118.0,D,
District 1,0.0,William H. Gudgel,R,47.8,Indiana,18493.0,0,1884,,0,,1.0,1.0,D,,199.0,118.0,D,
District 1,0.0,John J. Kleiner,D,51.5,Indiana,19930.0,1,1884,1884.0,0,,1.0,1.0,D,,199.0,118.0,D,
District 6,0.0,Henry Markham,R,49.1,California,17397.0,1,1884,1884.0,0,,1.0,1.0,D,,199.0,118.0,D,
District 6,0.0,R. A. Del Valle,D,47.9,California,16990.0,0,1884,,0,,1.0,1.0,D,,199.0,118.0,D,
District 2,0.0,Charles Allen Sumner,D,49.1,California,18208.0,0,1884,,0,,1.0,1.0,D,,199.0,118.0,D,
District 1,0.0,Barclay Henley,D,49.7,California,16461.0,1,1884,1884.0,0,,1.0,1.0,D,,199.0,118.0,D,
District 1,0.0,Thomas L. Carothers,R,49.3,California,16316.0,0,1884,,0,,1.0,1.0,D,,199.0,118.0,D,
District 5,0.0,Frank J. Sullivan,D,47.6,California,15676.0,0,1884,,0,,1.0,1.0,D,,199.0,118.0,D,
District 5,0.0,Charles N. Felton,R,51.7,California,17014.0,1,1884,1884.0,0,,1.0,1.0,D,,199.0,118.0,D,
District 4,0.0,R. P. Hastings,D,40.6,California,10422.0,0,1884,,0,,1.0,1.0,D,,199.0,118.0,D,
District 2,0.0,James A. Louttit,R,49.4,California,18327.0,1,1884,1884.0,0,,1.0,1.0,D,,199.0,118.0,D,
District 5,1.0,Charles N. Felton ,R,48.8,California,16328.0,1,1886,1886.0,0,,0.0,1.0,D,,183.0,141.0,D,
District 4,0.0,Frank McCoppin,D,42.0,California,9854.0,0,1886,,0,,0.0,1.0,D,,183.0,141.0,D,
District 4,1.0,William W. Morrow  ,R,48.6,California,11413.0,1,1886,1886.0,0,,0.0,1.0,D,,183.0,141.0,D,
District 5,0.0,Frank J. Sullivan,D,48.4,California,16209.0,0,1886,,0,,0.0,1.0,D,,183.0,141.0,D,
District 6,0.0,Joseph D. Lynch,D,47.1,California,18204.0,0,1886,,0,,0.0,1.0,D,,183.0,141.0,D,
District 1,0.0,J. E. McCullough,D,45.4,Indiana,16901.0,0,1886,,0,,0.0,1.0,D,,183.0,141.0,D,
District 6,0.0,William Vandever,R,47.3,California,18259.0,1,1886,1886.0,0,,0.0,1.0,D,,183.0,141.0,D,
District 3,1.0,Joseph McKenna ,R,53.0,California,15801.0,1,1886,1886.0,0,,0.0,1.0,D,,183.0,141.0,D,
District 2,0.0,Marion Biggs,D,50.0,California,17667.0,1,1886,1886.0,0,,0.0,1.0,D,,183.0,141.0,D,
District 3,0.0,Henry C. McPike,D,44.5,California,13277.0,0,1886,,0,,0.0,1.0,D,,183.0,141.0,D,
District 1,0.0,Alvin P. Hovey,R,49.0,Indiana,18258.0,1,1886,1886.0,0,,0.0,1.0,D,,183.0,141.0,D,
District 1,0.0,Charles A. Garter,R,47.1,California,15526.0,0,1886,,0,,0.0,1.0,D,,183.0,141.0,D,
District 1,0.0,Thomas Larkin Thompson,D,50.1,California,16499.0,1,1886,1886.0,0,,0.0,1.0,D,,183.0,141.0,D,
District 2,0.0,J. C. Campbell,R,47.0,California,16594.0,0,1886,,0,,0.0,1.0,D,,183.0,141.0,D,
District 2,0.0,John A. Eagon,R,46.6,California,17541.0,0,1888,,0,,1.0,1.0,R,,167.0,154.0,D,
District 2,1.0,Marion Biggs ,D,50.6,California,19064.0,1,1888,1888.0,0,,1.0,1.0,R,,167.0,154.0,D,
District 5,0.0,Timothy Guy Phelps,R,49.2,California,20225.0,0,1888,,0,,1.0,1.0,R,,167.0,154.0,D,
District 5,0.0,Thomas J. Clunie,D,49.3,California,20276.0,1,1888,1888.0,0,,1.0,1.0,R,,167.0,154.0,D,
District 3,1.0,Joseph McKenna ,R,56.0,California,19912.0,1,1888,1886.0,1,,1.0,1.0,R,,167.0,154.0,D,
District 1,0.0,William F. Parrett,D,49.3,Indiana,20647.0,1,1888,1888.0,0,,1.0,1.0,R,,167.0,154.0,D,
District 4,1.0,William W. Morrow  ,R,50.8,California,14217.0,1,1888,1886.0,1,,1.0,1.0,R,,167.0,154.0,D,
District 1,0.0,Frank B. Posey,R,49.3,Indiana,20627.0,0,1888,1888.0,0,,1.0,1.0,R,,167.0,154.0,D,
District 1,0.0,John J. De Haven,R,49.9,California,19345.0,1,1888,1888.0,0,,1.0,1.0,R,,167.0,154.0,D,
District 1,0.0,Thomas Larkin Thompson (I),D,49.0,California,19019.0,0,1888,,0,,1.0,1.0,R,,167.0,154.0,D,
District 6,0.0,Reel B. Terry,D,43.7,California,29453.0,0,1888,,0,,1.0,1.0,R,,167.0,154.0,D,
District 6,1.0,William Vandever ,R,52.5,California,35406.0,1,1888,1888.0,0,,1.0,1.0,R,,167.0,154.0,D,
District 4,0.0,Robert Ferral,D,48.6,California,13624.0,0,1888,,0,,1.0,1.0,R,,167.0,154.0,D,
District 3,0.0,Ben Morgan,D,41.2,California,14633.0,0,1888,,0,,1.0,1.0,R,,167.0,154.0,D,
District 5,0.0,Eugene F. Loud,R,52.8,California,22871.0,1,1890,1890.0,0,,0.0,1.0,R,,152.0,179.0,R,
District 5,1.0,Thomas J. Clunie ,D,45.9,California,19899.0,0,1890,,0,,0.0,1.0,R,,152.0,179.0,R,
District 1,0.0,Thomas J. Geary,D,49.3,California,19334.0,1,1890,1890.0,0,,0.0,1.0,R,,152.0,179.0,R,
District 1,0.0,John All Barham,R,48.8,California,19153.0,0,1890,1894.0,0,,0.0,1.0,R,,152.0,179.0,R,
District 4,,Robert Ferral,D,45.1,California,12091.0,0,1890,,0,,0.0,1.0,R,,152.0,179.0,R,
District 1,0.0,James S. Wright,R,48.0,Indiana,16875.0,0,1890,,0,,0.0,1.0,R,,152.0,179.0,R,
