state,district,won,won_pred,rel_won_proba,correct_pred
New Mexico,District 3,0,0.0,0.997908935093763,True
New York,District 1,1,1.0,0.9006096170868922,True
New York,District 10,0,0.0,0.9903418078403925,True
New York,District 11,0,1.0,0.5834383212522901,False
New York,District 12,0,0.0,0.9720786517561398,True
New York,District 13,0,0.0,0.8034799133042517,True
New York,District 14,0,0.0,0.8995848534557018,True
New York,District 15,0,0.0,0.9900005758423908,True
New York,District 16,0,0.0,1.0,True
New York,District 17,0,0.0,1.0,True
New York,District 18,0,0.0,0.9498993169876981,True
New York,District 19,0,1.0,0.9486140527441556,False
New York,District 2,1,1.0,0.9079626187724766,True
New York,District 20,0,0.0,0.7864945520545572,True
New York,District 21,1,1.0,0.6091276034865414,True
New York,District 22,0,1.0,0.9097184002150824,False
New York,District 23,1,1.0,0.9315547452248211,True
New York,District 24,1,1.0,0.9174321990388296,True
New York,District 25,0,1.0,0.9373960756260364,False
New York,District 26,0,0.0,0.8622857776094321,True
New York,District 27,1,1.0,0.9354180082330443,True
New York,District 3,0,0.0,0.7495587054942037,True
New York,District 4,0,0.0,0.9401194076445583,True
New York,District 5,0,0.0,1.0,True
New York,District 6,0,0.0,1.0,True
New York,District 7,0,0.0,1.0,True
New York,District 8,0,0.0,1.0,True
New York,District 9,0,0.0,0.9842540237071602,True
North Carolina,District 1,0,0.0,0.9909299991997997,True
North Carolina,District 10,1,1.0,0.9762135792322167,True
North Carolina,District 11,1,1.0,0.9749683336708413,True
North Carolina,District 12,0,0.0,0.8803156890444201,True
North Carolina,District 13,1,1.0,0.9943877559177633,True
North Carolina,District 2,1,1.0,0.9378725693159803,True
North Carolina,District 3,1,1.0,1.0,True
North Carolina,District 4,0,0.0,0.9846019062842246,True
North Carolina,District 5,1,1.0,0.9130998168481413,True
North Carolina,District 6,1,1.0,0.9534696152720877,True
North Carolina,District 7,1,1.0,0.6500664161315077,True
North Carolina,District 8,1,1.0,0.9263335030232176,True
North Carolina,District 9,1,1.0,0.6856934516069744,True
North Dakota,At-Large,1,1.0,0.7081794112865819,True
Ohio,District 1,1,1.0,0.9226875363837868,True
Ohio,District 10,1,1.0,0.9331818887838752,True
Ohio,District 11,0,0.0,0.9557175921472374,True
Ohio,District 12,1,1.0,0.8975248249436026,True
Ohio,District 13,0,0.0,0.9663236799248388,True
Ohio,District 14,1,1.0,0.9124230566466124,True
Ohio,District 15,1,1.0,0.9220175293990248,True
Ohio,District 16,1,1.0,0.8278003444403975,True
Ohio,District 2,1,1.0,0.9503038558425237,True
Ohio,District 3,0,0.0,0.9553236997444776,True
Ohio,District 4,1,1.0,0.972044435424245,True
Ohio,District 5,1,1.0,0.9728944608917109,True
Ohio,District 6,1,1.0,0.9813488103909791,True
Ohio,District 7,1,1.0,0.9045857691021237,True
Ohio,District 8,1,1.0,0.978870949131034,True
Ohio,District 9,0,0.0,0.9553420427841846,True
Oklahoma,District 1,1,1.0,0.7181623059706297,True
Oklahoma,District 2,1,1.0,0.9225872494244058,True
Oklahoma,District 3,1,1.0,0.9066806583944622,True
Oklahoma,District 4,1,1.0,0.9944188148036767,True
Oklahoma,District 5,0,1.0,0.94248669732009,False
Oregon,District 1,0,0.0,0.960734717122459,True
Oregon,District 2,1,1.0,0.9620120876622056,True
Oregon,District 3,0,0.0,1.0,True
Oregon,District 4,0,0.0,0.9974496637089637,True
Oregon,District 5,0,0.0,0.9973005764716981,True
Pennsylvania,District 1,1,1.0,0.9331207933079366,True
Pennsylvania,District 10,1,1.0,0.9246907324718456,True
Pennsylvania,District 11,1,1.0,0.921456224183542,True
Pennsylvania,District 12,1,1.0,0.9014695371357605,True
Pennsylvania,District 13,1,1.0,0.7532798741049991,True
Pennsylvania,District 14,1,1.0,0.8135950621899346,True
Pennsylvania,District 15,1,1.0,0.9936188452286003,True
Pennsylvania,District 16,1,1.0,0.9943924191847646,True
Pennsylvania,District 17,0,0.0,0.503255523134557,True
Pennsylvania,District 18,0,0.0,1.0,True
Pennsylvania,District 2,0,0.0,0.8181891973258248,True
Pennsylvania,District 3,0,0.0,0.7275053410127498,True
Pennsylvania,District 4,0,1.0,0.648618771448067,False
Pennsylvania,District 5,0,1.0,0.9816026266207762,False
Pennsylvania,District 6,0,1.0,0.6235202915423587,False
Pennsylvania,District 7,0,1.0,0.70890446720992,False
Pennsylvania,District 8,0,0.0,0.841423265848013,True
Pennsylvania,District 9,1,1.0,0.7425093788348056,True
Rhode Island,District 1,0,0.0,0.9401493972939382,True
Rhode Island,District 2,0,0.0,0.9544475493692927,True
South Carolina,District 1,0,1.0,0.5558038626155449,False
South Carolina,District 2,1,1.0,0.9766649173967153,True
South Carolina,District 3,1,1.0,0.9480708413583866,True
South Carolina,District 4,1,1.0,0.813815182408505,True
South Carolina,District 5,1,1.0,0.9336096982866162,True
South Carolina,District 6,0,0.0,0.9553533470134498,True
South Carolina,District 7,1,1.0,0.908052163451833,True
South Dakota,At-Large,1,1.0,0.7379414908764143,True
Tennessee,District 1,1,1.0,0.9740227603572359,True
Tennessee,District 2,1,1.0,0.8088035015137514,True
Tennessee,District 3,1,1.0,0.9485994744258877,True
Tennessee,District 4,1,1.0,0.9445050772685294,True
Tennessee,District 5,0,0.0,0.998004892561966,True
Tennessee,District 6,1,1.0,0.9531104079002978,True
Tennessee,District 7,1,1.0,0.7957911156904458,True
Tennessee,District 8,1,1.0,0.9156898177751434,True
Tennessee,District 9,0,0.0,0.9557223992117169,True
Texas,District 1,1,1.0,0.9968758783493651,True
Texas,District 10,1,1.0,0.9918557738572359,True
Texas,District 11,1,1.0,0.9937815116123021,True
Texas,District 12,1,1.0,0.8168480564760435,True
Texas,District 13,1,1.0,0.9969813948004785,True
Texas,District 14,1,1.0,0.9961954893318478,True
Texas,District 15,0,0.0,0.9979579612246507,True
Texas,District 16,0,0.0,0.707405344696463,True
Texas,District 17,1,1.0,0.9780699377071558,True
Texas,District 18,0,0.0,0.969681640764037,True
Texas,District 19,1,1.0,0.8295706689407516,True
Texas,District 2,1,1.0,0.7472914940917433,True
Texas,District 20,0,0.0,1.0,True
Texas,District 21,1,1.0,0.7959991987038448,True
Texas,District 22,1,1.0,0.9452539947556837,True
Texas,District 23,1,1.0,0.8909733849342042,True
Texas,District 24,1,1.0,0.996481140610363,True
Texas,District 25,1,1.0,0.9537013066309792,True
Texas,District 26,1,1.0,0.9962531347650663,True
Texas,District 27,1,1.0,0.9732408522008872,True
Texas,District 28,0,0.0,1.0,True
Texas,District 29,0,0.0,0.9788845393413863,True
Texas,District 3,1,0.0,0.6898123826738697,False
Texas,District 30,0,0.0,1.0,True
Texas,District 31,1,1.0,0.8759100932587007,True
Texas,District 32,0,1.0,0.9304294517895372,False
Texas,District 33,0,0.0,0.9648637129690264,True
Texas,District 34,0,0.0,0.965387114046355,True
Texas,District 35,0,0.0,0.9607341004883131,True
Texas,District 36,1,1.0,0.9299306278422335,True
Texas,District 4,1,1.0,0.9909775189284439,True
Texas,District 5,1,1.0,0.7409993859481069,True
Texas,District 6,1,1.0,0.8379865017449448,True
Texas,District 7,0,1.0,0.861030111613314,False
Texas,District 8,1,1.0,0.996927422588041,True
Texas,District 9,0,0.0,1.0,True
Utah,District 1,1,1.0,0.9921118263122704,True
Utah,District 2,1,1.0,0.9476104631012874,True
Utah,District 3,1,1.0,0.877817772179579,True
Utah,District 4,0,1.0,0.907970223894796,False
Vermont,At-Large,0,0.0,0.8146588627651986,True
Virginia,District 1,1,1.0,0.8160022392739797,True
Virginia,District 10,0,1.0,0.9313678691428461,False
Virginia,District 11,0,0.0,0.8944226295792114,True
Virginia,District 2,0,1.0,0.9924352077695697,False
Virginia,District 3,0,0.0,1.0,True
Virginia,District 4,0,0.0,0.8051456555067408,True
Virginia,District 5,1,1.0,0.7340622829034663,True
Virginia,District 6,1,1.0,0.6061525607528777,True
Virginia,District 7,0,1.0,0.9021434347549374,False
Virginia,District 8,0,0.0,0.9787723992667106,True
Virginia,District 9,1,1.0,0.9943900377571112,True
Washington,District 1,0,0.0,0.701653883788546,True
Washington,District 10,0,0.0,0.9562596669653325,True
Washington,District 2,0,0.0,1.0,True
Washington,District 3,1,1.0,0.9944192696421571,True
Washington,District 4,1,1.0,0.9559311443444218,True
Washington,District 5,1,1.0,0.871716156864572,True
Washington,District 6,0,0.0,0.698117739905361,True
Washington,District 7,0,0.0,0.714529133258422,True
Washington,District 8,0,1.0,0.7201247706908587,False
Washington,District 9,0,0.0,0.9749958034888876,True
West Virginia,District 1,1,1.0,0.9135514876426812,True
