request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,General_Party:token,General_Party:id,General_Party,#_of_Records,Total_$
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NJ&y=2014&c-t-p=3,s,NJ,NJ,y,2014,2014,c-t-p,3,Third-Party,4,2178.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WY&y=2012&c-t-p=3,s,WY,WY,y,2012,2012,c-t-p,3,Third-Party,15,1958.71
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2012&c-t-p=3,s,OH,OH,y,2012,2012,c-t-p,3,Third-Party,12,1516.47
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=ID&y=2016&c-t-p=3,s,ID,ID,y,2016,2016,c-t-p,3,Third-Party,13,1438.62
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AK&y=2014&c-t-p=3,s,AK,AK,y,2014,2014,c-t-p,3,Third-Party,5,1260.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=LA&y=2016&c-t-p=3,s,LA,LA,y,2016,2016,c-t-p,3,Third-Party,6,1195.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WI&y=2012&c-t-p=3,s,WI,WI,y,2012,2012,c-t-p,3,Third-Party,3,1118.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AZ&y=2016&c-t-p=3,s,AZ,AZ,y,2016,2016,c-t-p,3,Third-Party,13,1102.84
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=GA&y=2012&c-t-p=3,s,GA,GA,y,2012,2012,c-t-p,3,Third-Party,1,900.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MD&y=2018&c-t-p=3,s,MD,MD,y,2018,2018,c-t-p,3,Third-Party,4,900.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WY&y=2014&c-t-p=3,s,WY,WY,y,2014,2014,c-t-p,3,Third-Party,2,600.00
