request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=140799&c-t-p=2,c-t-id,140799,"LANKFORD, JAMES PAUL",c-t-eid,17657561,"LANKFORD, JAMES PAUL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OK,OK,y,2012,2012,c-r-t,1,Standard,c-r-osid,15293,"US HOUSE DISTRICT OK 005",c-t-ico,I,Incumbent,1157,1150382.98
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=226815&c-t-p=1,c-t-id,226815,"GABBARD TAMAYO, TULSI",c-t-eid,6401344,"GABBARD TAMAYO, TULSI",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,HI,HI,y,2018,2018,c-r-t,1,Standard,c-r-osid,15104,"US HOUSE DISTRICT HI 002",c-t-ico,I,Incumbent,4950,1150266.01
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160847&c-t-p=2,c-t-id,160847,"REED II, THOMAS W",c-t-eid,17657549,"REED II, THOMAS W",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NY,NY,y,2010,2010,c-r-t,1,Standard,c-r-osid,18014,"US HOUSE DISTRICT NY 029",c-t-ico,O,Open,1264,1149544.76
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=140639&c-t-p=1,c-t-id,140639,"DELAURO, ROSA L",c-t-eid,5349073,"DELAURO, ROSA L",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CT,CT,y,2012,2012,c-r-t,1,Standard,c-r-osid,15058,"US HOUSE DISTRICT CT 003",c-t-ico,I,Incumbent,1094,1149364.79
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=220361&c-t-p=1,c-t-id,220361,"DELAURO, ROSA L",c-t-eid,5349073,"DELAURO, ROSA L",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CT,CT,y,2016,2016,c-r-t,1,Standard,c-r-osid,15058,"US HOUSE DISTRICT CT 003",c-t-ico,I,Incumbent,1084,1148838.52
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=180706&c-t-p=2,c-t-id,180706,"RICE JR, TOM",c-t-eid,8176238,"RICE JR, TOM",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,SC,SC,y,2014,2014,c-r-t,1,Standard,c-r-osid,15325,"US HOUSE DISTRICT SC 007",c-t-ico,I,Incumbent,1010,1148056.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160226&c-t-p=1,c-t-id,160226,"ETHERIDGE, BOB R",c-t-eid,6154661,"ETHERIDGE, BOB R",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NC,NC,y,2010,2010,c-r-t,1,Standard,c-r-osid,15209,"US HOUSE DISTRICT NC 002",c-t-ico,I,Incumbent,1094,1147767.72
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141998&c-t-p=1,c-t-id,141998,"PRICE, DAVID E",c-t-eid,6891915,"PRICE, DAVID E",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NC,NC,y,2012,2012,c-r-t,1,Standard,c-r-osid,15211,"US HOUSE DISTRICT NC 004",c-t-ico,I,Incumbent,1561,1147337.63
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=161084&c-t-p=2,c-t-id,161084,"BRUUN, LORENTZ SCOTT",c-t-eid,13005362,"BRUUN, LORENTZ SCOTT",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OR,OR,y,2010,2010,c-r-t,1,Standard,c-r-osid,15298,"US HOUSE DISTRICT OR 005",c-t-ico,C,Challenger,1160,1146022.24
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=175727&c-t-p=1,c-t-id,175727,"WELCH, PETER F",c-t-eid,9959484,"WELCH, PETER F",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VT,VT,y,2014,2014,c-r-t,1,Standard,c-r-osid,15387,"US HOUSE DISTRICT VT 001",c-t-ico,I,Incumbent,2111,1145343.36
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=226856&c-t-p=1,c-t-id,226856,"NADLER, JERROLD L",c-t-eid,17658246,"NADLER, JERROLD L",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NY,NY,y,2018,2018,c-r-t,1,Standard,c-r-osid,15255,"US HOUSE DISTRICT NY 010",c-t-ico,I,Incumbent,1972,1145113.95
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141558&c-t-p=1,c-t-id,141558,"KAPTUR, MARCY",c-t-eid,3503114,"KAPTUR, MARCY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,OH,OH,y,2012,2012,c-r-t,1,Standard,c-r-osid,15281,"US HOUSE DISTRICT OH 009",c-t-ico,I,Incumbent,994,1144307.20
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=163440&c-t-p=2,c-t-id,163440,"HULTGREN, RANDALL MARK (RANDY)",c-t-eid,2767639,"HULTGREN, RANDALL MARK (RANDY)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2014,2014,c-r-t,1,Standard,c-r-osid,15124,"US HOUSE DISTRICT IL 014",c-t-ico,I,Incumbent,989,1143623.85
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160653&c-t-p=2,c-t-id,160653,"SCHILLING, ROBERT TODD (BOBBY)",c-t-eid,17657455,"SCHILLING, ROBERT TODD (BOBBY)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2010,2010,c-r-t,1,Standard,c-r-osid,15127,"US HOUSE DISTRICT IL 017",c-t-ico,C,Challenger,1573,1143570.02
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=163475&c-t-p=1,c-t-id,163475,"CARSON, ANDRE D",c-t-eid,17658782,"CARSON, ANDRE D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IN,IN,y,2014,2014,c-r-t,1,Standard,c-r-osid,15135,"US HOUSE DISTRICT IN 007",c-t-ico,I,Incumbent,1247,1143398.82
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=201648&c-t-p=2,c-t-id,201648,"JENKINS, EVAN H",c-t-eid,7511614,"JENKINS, EVAN H",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WV,WV,y,2016,2016,c-r-t,1,Standard,c-r-osid,15408,"US HOUSE DISTRICT WV 003",c-t-ico,I,Incumbent,952,1142825.19
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141856&c-t-p=1,c-t-id,141856,"POCAN, MARK",c-t-eid,17658558,"POCAN, MARK",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,15399,"US HOUSE DISTRICT WI 002",c-t-ico,O,Open,1581,1142603.68
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141311&c-t-p=2,c-t-id,141311,"BARTLETT, ROSCOE G",c-t-eid,17658041,"BARTLETT, ROSCOE G",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,MD,MD,y,2012,2012,c-r-t,1,Standard,c-r-osid,15168,"US HOUSE DISTRICT MD 006",c-t-ico,I,Incumbent,995,1141477.75
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=165823&c-t-p=2,c-t-id,165823,"LOUDERMILK, BARRY D",c-t-eid,12999116,"LOUDERMILK, BARRY D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,GA,GA,y,2014,2014,c-r-t,1,Standard,c-r-osid,15099,"US HOUSE DISTRICT GA 011",c-t-ico,O,Open,1607,1141472.65
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=142047&c-t-p=1,c-t-id,142047,"SMITH, ADAM",c-t-eid,17658734,"SMITH, ADAM",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2012,2012,c-r-t,1,Standard,c-r-osid,15396,"US HOUSE DISTRICT WA 009",c-t-ico,I,Incumbent,967,1141464.70
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160961&c-t-p=2,c-t-id,160961,"GIBBS, ROBERT BRIAN",c-t-eid,3104545,"GIBBS, ROBERT BRIAN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OH,OH,y,2010,2010,c-r-t,1,Standard,c-r-osid,18016,"US HOUSE DISTRICT OH 018",c-t-ico,C,Challenger,4881,1140237.29
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141210&c-t-p=1,c-t-id,141210,"KRISHNAMOORTHI, SUBRAMANIA RAJA",c-t-eid,6265333,"KRISHNAMOORTHI, SUBRAMANIA RAJA",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2012,2012,c-r-t,1,Standard,c-r-osid,15118,"US HOUSE DISTRICT IL 008",c-t-ico,O,Open,1440,1140001.13
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=202123&c-t-p=1,c-t-id,202123,"GARAMENDI, JOHN",c-t-eid,12997062,"GARAMENDI, JOHN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2016,2016,c-r-t,1,Standard,c-r-osid,14998,"US HOUSE DISTRICT CA 003",c-t-ico,I,Incumbent,1123,1139638.58
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=165864&c-t-p=2,c-t-id,165864,"NUNNELEE, ALAN",c-t-eid,6611728,"NUNNELEE, ALAN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,MS,MS,y,2014,2014,c-r-t,1,Standard,c-r-osid,15203,"US HOUSE DISTRICT MS 001",c-t-ico,I,Incumbent,719,1139420.63
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=193990&c-t-p=2,c-t-id,193990,"WENSTRUP, BRAD R",c-t-eid,2596103,"WENSTRUP, BRAD R",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OH,OH,y,2016,2016,c-r-t,1,Standard,c-r-osid,15274,"US HOUSE DISTRICT OH 002",c-t-ico,I,Incumbent,1164,1139362.44
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160456&c-t-p=1,c-t-id,160456,"COHEN, STEPHEN I",c-t-eid,6442808,"COHEN, STEPHEN I",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,TN,TN,y,2010,2010,c-r-t,1,Standard,c-r-osid,15335,"US HOUSE DISTRICT TN 009",c-t-ico,I,Incumbent,1030,1139089.44
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=165797&c-t-p=1,c-t-id,165797,"BISHOP JR, SANFORD D",c-t-eid,5134027,"BISHOP JR, SANFORD D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,GA,GA,y,2014,2014,c-r-t,1,Standard,c-r-osid,15090,"US HOUSE DISTRICT GA 002",c-t-ico,I,Incumbent,937,1139028.37
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141085&c-t-p=2,c-t-id,141085,"DESANTIS, RONALD D (RON)",c-t-eid,17657831,"DESANTIS, RONALD D (RON)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,FL,FL,y,2012,2012,c-r-t,1,Standard,c-r-osid,15067,"US HOUSE DISTRICT FL 006",c-t-ico,O,Open,1064,1139001.70
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=200044&c-t-p=1,c-t-id,200044,"CLEAVER II, EMANUEL",c-t-eid,4396432,"CLEAVER II, EMANUEL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,MO,MO,y,2016,2016,c-r-t,1,Standard,c-r-osid,15199,"US HOUSE DISTRICT MO 005",c-t-ico,I,Incumbent,998,1138706.16
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160144&c-t-p=2,c-t-id,160144,"MANZULLO, DONALD A",c-t-eid,17657453,"MANZULLO, DONALD A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2010,2010,c-r-t,1,Standard,c-r-osid,15126,"US HOUSE DISTRICT IL 016",c-t-ico,I,Incumbent,1504,1138238.79
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=196827&c-t-p=1,c-t-id,196827,"RUPPERSBERGER, C A DUTCH",c-t-eid,17658031,"RUPPERSBERGER, C A DUTCH",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,MD,MD,y,2016,2016,c-r-t,1,Standard,c-r-osid,15164,"US HOUSE DISTRICT MD 002",c-t-ico,I,Incumbent,1045,1137823.77
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=203702&c-t-p=2,c-t-id,203702,"MULVANEY, JOHN MICHAEL (MICK)",c-t-eid,6670008,"MULVANEY, JOHN MICHAEL (MICK)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,SC,SC,y,2016,2016,c-r-t,1,Standard,c-r-osid,15323,"US HOUSE DISTRICT SC 005",c-t-ico,I,Incumbent,1530,1137813.17
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=211532&c-t-p=2,c-t-id,211532,"PITTENGER, ROBERT M",c-t-eid,5956762,"PITTENGER, ROBERT M",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NC,NC,y,2016,2016,c-r-t,1,Standard,c-r-osid,15216,"US HOUSE DISTRICT NC 009",c-t-ico,I,Incumbent,591,1137643.67
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141677&c-t-p=2,c-t-id,141677,"JOHNSON, SAM",c-t-eid,17658383,"JOHNSON, SAM",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2012,2012,c-r-t,1,Standard,c-r-osid,15338,"US HOUSE DISTRICT TX 003",c-t-ico,I,Incumbent,1026,1137194.68
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160593&c-t-p=1,c-t-id,160593,"RICHMOND, CEDRIC",c-t-eid,6410112,"RICHMOND, CEDRIC",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,LA,LA,y,2010,2010,c-r-t,1,Standard,c-r-osid,15149,"US HOUSE DISTRICT LA 002",c-t-ico,C,Challenger,1299,1136622.70
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=163460&c-t-p=2,c-t-id,163460,"SCHILLING, ROBERT TODD (BOBBY)",c-t-eid,17657455,"SCHILLING, ROBERT TODD (BOBBY)",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2014,2014,c-r-t,1,Standard,c-r-osid,15127,"US HOUSE DISTRICT IL 017",c-t-ico,C,Challenger,1106,1136452.22
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=202294&c-t-p=2,c-t-id,202294,"HUNTER, DUNCAN D",c-t-eid,17658760,"HUNTER, DUNCAN D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15045,"US HOUSE DISTRICT CA 050",c-t-ico,I,Incumbent,848,1136087.81
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=214496&c-t-p=2,c-t-id,214496,"GAETZ, MATT",c-t-eid,12998496,"GAETZ, MATT",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,FL,FL,y,2016,2016,c-r-t,1,Standard,c-r-osid,15062,"US HOUSE DISTRICT FL 001",c-t-ico,O,Open,736,1135899.89
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=168513&c-t-p=2,c-t-id,168513,"LANCE, LEONARD",c-t-eid,13008942,"LANCE, LEONARD",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NJ,NJ,y,2014,2014,c-r-t,1,Standard,c-r-osid,15233,"US HOUSE DISTRICT NJ 007",c-t-ico,I,Incumbent,1101,1134197.61
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=227624&c-t-p=1,c-t-id,227624,"TRAHAN, LORI",c-t-eid,15875826,"TRAHAN, LORI",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,MA,MA,y,2018,2018,c-r-t,1,Standard,c-r-osid,15156,"US HOUSE DISTRICT MA 003",c-t-ico,O,Open,1729,1133835.26
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=227809&c-t-p=1,c-t-id,227809,"HAALAND, DEBRA",c-t-eid,16109448,"HAALAND, DEBRA",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NM,NM,y,2018,2018,c-r-t,1,Standard,c-r-osid,15239,"US HOUSE DISTRICT NM 001",c-t-ico,O,Open,2056,1133767.98
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=140750&c-t-p=2,c-t-id,140750,"ELLMERS, RENEE",c-t-eid,5877139,"ELLMERS, RENEE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NC,NC,y,2012,2012,c-r-t,1,Standard,c-r-osid,15209,"US HOUSE DISTRICT NC 002",c-t-ico,I,Incumbent,1380,1132972.77
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=226772&c-t-p=1,c-t-id,226772,"HECK, DENNIS R (DENNY)",c-t-eid,2606434,"HECK, DENNIS R (DENNY)",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2018,2018,c-r-t,1,Standard,c-r-osid,15397,"US HOUSE DISTRICT WA 010",c-t-ico,I,Incumbent,1438,1132356.99
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=228153&c-t-p=2,c-t-id,228153,"WITTMAN, ROBERT J (ROB)",c-t-eid,6666723,"WITTMAN, ROBERT J (ROB)",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2018,2018,c-r-t,1,Standard,c-r-osid,15376,"US HOUSE DISTRICT VA 001",c-t-ico,I,Incumbent,1067,1132352.72
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=203125&c-t-p=2,c-t-id,203125,"LANCE, LEONARD",c-t-eid,13008942,"LANCE, LEONARD",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NJ,NJ,y,2016,2016,c-r-t,1,Standard,c-r-osid,15233,"US HOUSE DISTRICT NJ 007",c-t-ico,I,Incumbent,974,1132272.40
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160338&c-t-p=1,c-t-id,160338,"RUPPERSBERGER, C A DUTCH",c-t-eid,17658031,"RUPPERSBERGER, C A DUTCH",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,MD,MD,y,2010,2010,c-r-t,1,Standard,c-r-osid,15164,"US HOUSE DISTRICT MD 002",c-t-ico,I,Incumbent,1053,1131009.88
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=174027&c-t-p=1,c-t-id,174027,"SLAUGHTER, LOUISE M",c-t-eid,17658702,"SLAUGHTER, LOUISE M",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NY,NY,y,2014,2014,c-r-t,1,Standard,c-r-osid,15270,"US HOUSE DISTRICT NY 025",c-t-ico,I,Incumbent,1637,1130830.10
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=227543&c-t-p=1,c-t-id,227543,"UNDERWOOD, LAUREN A",c-t-eid,44044644,"UNDERWOOD, LAUREN A",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2018,2018,c-r-t,1,Standard,c-r-osid,15124,"US HOUSE DISTRICT IL 014",c-t-ico,C,Challenger,1482,1130813.79
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=179102&c-t-p=2,c-t-id,179102,"POSEY, BILL",c-t-eid,12998616,"POSEY, BILL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,FL,FL,y,2014,2014,c-r-t,1,Standard,c-r-osid,15069,"US HOUSE DISTRICT FL 008",c-t-ico,I,Incumbent,1065,1130113.13
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=226995&c-t-p=2,c-t-id,226995,"THORNBERRY, MAC",c-t-eid,17658625,"THORNBERRY, MAC",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2018,2018,c-r-t,1,Standard,c-r-osid,15348,"US HOUSE DISTRICT TX 013",c-t-ico,I,Incumbent,1069,1129397.64
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=193584&c-t-p=2,c-t-id,193584,"ROGERS, MIKE",c-t-eid,6571477,"ROGERS, MIKE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2016,2016,c-r-t,1,Standard,c-r-osid,14978,"US HOUSE DISTRICT AL 003",c-t-ico,I,Incumbent,929,1129327.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=218495&c-t-p=2,c-t-id,218495,"KIEHNE, GARY",c-t-eid,20746575,"KIEHNE, GARY",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AZ,AZ,y,2016,2016,c-r-t,1,Standard,c-r-osid,14987,"US HOUSE DISTRICT AZ 001",c-t-ico,O,Open,492,1129214.04
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=227307&c-t-p=1,c-t-id,227307,"THORBURN, ANDY",c-t-eid,35176096,"THORBURN, ANDY",c-t-ftsts,"Lost-Top Two Primary","Lost-Top Two Primary",c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2018,2018,c-r-t,1,Standard,c-r-osid,15034,"US HOUSE DISTRICT CA 039",c-t-ico,O,Open,456,1128970.16
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=215639&c-t-p=1,c-t-id,215639,"LANGEVIN, JAMES R",c-t-eid,5029414,"LANGEVIN, JAMES R",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,RI,RI,y,2016,2016,c-r-t,1,Standard,c-r-osid,15318,"US HOUSE DISTRICT RI 002",c-t-ico,I,Incumbent,1475,1128818.90
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=161213&c-t-p=2,c-t-id,161213,"MILLER-MEEKS, MARIANNETTE",c-t-eid,6022032,"MILLER-MEEKS, MARIANNETTE",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IA,IA,y,2010,2010,c-r-t,1,Standard,c-r-osid,15106,"US HOUSE DISTRICT IA 002",c-t-ico,C,Challenger,1026,1128675.31
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141438&c-t-p=2,c-t-id,141438,"MEADOWS, MARK RANDAL",c-t-eid,5904346,"MEADOWS, MARK RANDAL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NC,NC,y,2012,2012,c-r-t,1,Standard,c-r-osid,15218,"US HOUSE DISTRICT NC 011",c-t-ico,O,Open,963,1127952.05
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141175&c-t-p=2,c-t-id,141175,"ALLEN, RICHARD W (RICK)",c-t-eid,6939101,"ALLEN, RICHARD W (RICK)",c-t-ftsts,"Lost-Primary Runoff","Lost-Primary Runoff",c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,GA,GA,y,2012,2012,c-r-t,1,Standard,c-r-osid,15100,"US HOUSE DISTRICT GA 012",c-t-ico,O,Open,703,1127230.00
